curbweight,cylindernumber,enginesize,boreratio,horsepower,citympg,price,price_category,is_convertible,is_rear,fueltype_gas,aspiration_turbo
2017,4,103,2.99,55,45,7099.0,0,False,False,False,False
1918,4,97,3.15,69,31,6649.0,0,False,False,True,False
1938,4,97,3.15,69,31,6849.0,0,False,False,True,False
2024,4,97,3.15,69,31,7349.0,0,False,False,True,False
1951,4,97,3.15,69,31,7299.0,0,False,False,True,False
2028,4,97,3.15,69,31,7799.0,0,False,False,True,False
1971,4,97,3.15,69,31,7499.0,0,False,False,True,False
2037,4,97,3.15,69,31,7999.0,0,False,False,True,False
2008,4,97,3.15,69,31,8249.0,0,False,False,True,False
2324,4,120,3.33,97,27,8949.0,0,False,False,True,False
2302,4,120,3.33,97,27,9549.0,0,False,False,True,False
3095,6,181,3.43,152,17,13499.0,1,False,False,True,False
3296,6,181,3.43,152,17,14399.0,1,False,False,True,False
3060,6,181,3.43,152,19,13499.0,1,False,False,True,False
3071,6,181,3.43,160,19,17199.0,1,False,False,True,False
3139,6,181,3.43,200,17,19699.0,1,False,False,True,True
3139,6,181,3.43,160,19,18399.0,1,False,False,True,False
3020,4,120,3.46,97,19,11900.0,1,False,False,True,False
3197,4,152,3.7,95,28,13200.0,1,False,False,False,True
3230,4,120,3.46,97,19,12440.0,1,False,False,True,False
3430,4,152,3.7,95,25,13860.0,1,False,False,False,True
3075,4,120,3.46,95,19,15580.0,1,False,False,True,False
3252,4,152,3.7,95,28,16900.0,1,False,False,False,True
3285,4,120,3.46,95,19,16695.0,1,False,False,True,False
3485,4,152,3.7,95,25,17075.0,1,False,False,False,True
3075,4,120,3.46,97,19,16630.0,1,False,False,True,False
3252,4,152,3.7,95,28,17950.0,1,False,False,False,True
3130,4,134,3.61,142,18,18150.0,1,False,False,True,True
1918,4,90,2.97,68,37,5572.0,0,False,False,True,False
2128,4,98,3.03,102,24,7957.0,0,False,False,True,True
1967,4,90,2.97,68,31,6229.0,0,False,False,True,False
1989,4,90,2.97,68,31,6692.0,0,False,False,True,False
2191,4,98,2.97,68,31,7609.0,0,False,False,True,False
2535,4,122,3.35,88,24,8921.0,0,False,False,True,False
2818,4,156,3.59,145,19,12764.0,1,False,False,True,True
2778,4,151,3.94,143,19,22018.0,1,False,False,True,False
2756,6,194,3.74,207,17,32528.0,1,False,True,True,False
2756,6,194,3.74,207,17,34028.0,1,False,True,True,False
2800,6,194,3.74,207,17,37028.0,1,True,True,True,False
3366,8,203,3.94,288,17,31400.5,1,False,False,True,False
2579,4,132,3.46,90,23,9295.0,0,False,False,True,False
2460,4,132,3.46,90,23,9895.0,0,False,False,True,False
2658,4,121,3.54,110,21,11850.0,1,False,False,True,False
2695,4,121,3.54,110,21,12170.0,1,False,False,True,False
2707,4,121,2.54,110,21,15040.0,1,False,False,True,False
2758,4,121,3.54,110,21,15510.0,1,False,False,True,False
2808,4,121,3.54,160,19,18150.0,1,False,False,True,True
2847,4,121,3.54,160,19,18620.0,1,False,False,True,True
2050,4,97,3.62,69,31,5118.0,0,False,False,True,False
2120,4,108,3.62,73,26,7053.0,0,False,False,True,False
2240,4,108,3.62,73,26,7603.0,0,False,False,True,False
2145,4,108,3.62,82,32,7126.0,0,False,False,True,False
2190,4,108,3.62,82,28,7775.0,0,False,False,True,False
2340,4,108,3.62,94,26,9960.0,0,False,False,True,False
2385,4,108,3.62,82,24,9233.0,0,False,False,True,False
2510,4,108,3.62,111,24,11259.0,1,False,False,True,True
2290,4,108,3.62,82,28,7463.0,0,False,False,True,False
2455,4,108,3.62,94,25,10198.0,0,False,False,True,False
2420,4,108,3.62,82,23,8013.0,0,False,False,True,False
2650,4,108,3.62,111,23,11694.0,1,False,False,True,True
1985,4,92,3.05,62,35,5348.0,0,False,False,True,False
2040,4,92,3.05,62,31,6338.0,0,False,False,True,False
2015,4,92,3.05,62,31,6488.0,0,False,False,True,False
2280,4,92,3.05,62,31,6918.0,0,False,False,True,False
2290,4,92,3.05,62,27,7898.0,0,False,False,True,False
3110,4,92,3.05,62,27,8778.0,0,False,False,True,False
2081,4,98,3.19,70,30,6938.0,0,False,False,True,False
2109,4,98,3.19,70,30,7198.0,0,False,False,True,False
2275,4,110,3.27,56,34,7898.0,0,False,False,False,False
2275,4,110,3.27,56,38,7788.0,0,False,False,False,False
2094,4,98,3.19,70,38,7738.0,0,False,False,True,False
2122,4,98,3.19,70,28,8358.0,0,False,False,True,False
2140,4,98,3.19,70,28,9258.0,0,False,False,True,False
2169,4,98,3.19,70,29,8058.0,0,False,False,True,False
2204,4,98,3.19,70,29,8238.0,0,False,False,True,False
2265,4,98,3.24,112,26,9298.0,0,False,False,True,False
2300,4,98,3.24,112,26,9538.0,0,False,False,True,False
2540,4,146,3.62,116,24,8449.0,0,False,False,True,False
2536,4,146,3.62,116,24,9639.0,0,False,False,True,False
2551,4,146,3.62,116,24,9989.0,0,False,False,True,False
2679,4,146,3.62,116,24,11199.0,1,False,False,True,False
2714,4,146,3.62,116,24,11549.0,1,False,False,True,False
2975,4,146,3.62,116,24,17669.0,1,True,False,True,False
2326,4,122,3.31,92,29,8948.0,0,False,False,True,False
2480,4,110,3.27,73,30,10698.0,1,False,False,False,True
2414,4,122,3.31,92,27,9988.0,0,False,False,True,False
2414,4,122,3.31,92,27,10898.0,1,False,False,True,False
2458,4,122,3.31,92,27,11248.0,1,False,False,True,False
2976,6,171,3.27,161,20,16558.0,1,False,False,True,False
3016,6,171,3.27,161,19,15998.0,1,False,False,True,False
3131,6,171,3.27,156,20,15690.0,1,False,False,True,False
3151,6,161,3.27,156,19,15750.0,1,False,False,True,False
2261,4,97,3.01,52,37,7775.0,0,False,False,False,False
2209,4,109,3.19,85,27,7975.0,0,False,False,True,False
2264,4,97,3.01,52,37,7995.0,0,False,False,False,False
2212,4,109,3.19,85,27,8195.0,0,False,False,True,False
2275,4,109,3.19,85,27,8495.0,0,False,False,True,False
2319,4,97,3.01,68,37,9495.0,0,False,False,False,True
2300,4,109,3.19,100,26,9995.0,0,False,False,True,False
2254,4,109,3.19,90,24,11595.0,1,True,False,True,False
2221,4,109,3.19,90,24,9980.0,0,False,False,True,False
2661,5,136,3.19,110,19,13295.0,1,False,False,True,False
2579,4,97,3.01,68,33,13845.0,1,False,False,False,True
2563,4,109,3.19,88,25,12290.0,1,False,False,True,False
2912,4,141,3.78,114,23,12940.0,1,False,False,True,False
3034,4,141,3.78,114,23,13415.0,1,False,False,True,False
2935,4,141,3.78,114,24,15985.0,1,False,False,True,False
3042,4,141,3.78,114,24,16515.0,1,False,False,True,False
3045,4,130,3.62,162,17,18420.0,1,False,False,True,True
3157,4,130,3.62,162,17,18950.0,1,False,False,True,True
2952,4,141,3.78,114,23,16845.0,1,False,False,True,False
3049,4,141,3.78,160,19,19045.0,1,False,False,True,True
3012,6,173,3.58,134,18,21485.0,1,False,False,True,False
3217,6,145,3.01,106,26,22470.0,1,False,False,False,True
3062,4,141,3.78,114,19,22625.0,1,False,False,True,True
